,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
168, Afghanistan,,,,,,,,,,,,,,,,,,,1809,,,,,
68, Albania,,,,,,,,,,,,,,,,,,,10970,,,,,
85, Algeria,,,,,,,,,,,,,,,,,,,13725,,,,,
147, Angola,,,,,,,,,,,,,,,,,,,6228,,,,,
70, Antigua and Barbuda,,,,,,,,,,,,,,,,,,,20155,,,,,
47, Argentina,,,,,,,,,,,,,,,,,,,19117,,,,,
83, Armenia,,,,,,,,,,,,,,,,,,,8196,,,,,
3, Australia,,,,,,,,,,,,,,,,,,,43923,,,,,
20, Austria,,,,,,,,,,,,,,,,,,,44305,,,,,
80, Azerbaijan,,,,,,,,,,,,,,,,,,,16699,,,,,
54, Bahamas,,,,,,,,,,,,,,,,,,,28407,,,,,
43, Bahrain,,,,,,,,,,,,,,,,,,,43926,,,,,
136, Bangladesh,,,,,,,,,,,,,,,,,,,3133,,,,,
58, Barbados,,,,,,,,,,,,,,,,,,,16458,,,,,
53, Belarus,,,,,,,,,,,,,,,,,,,17230,,,,,
17, Belgium,,,,,,,,,,,,,,,,,,,41708,,,,,
106, Belize,,,,,,,,,,,,,,,,,,,8128,,,,,
163, Benin,,,,,,,,,,,,,,,,,,,1987,,,,,
134, Bhutan,,,,,,,,,,,,,,,,,,,7743,,,,,
118, Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,6532,,,,,
77, Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,10932,,,,,
101, Botswana,,,,,,,,,,,,,,,,,,,15357,,,,,
79, Brazil,,,,,,,,,,,,,,,,,,,14703,,,,,
39, Brunei Darussalam,,,,,,,,,,,,,,,,,,,74600,,,,,
51, Bulgaria,,,,,,,,,,,,,,,,,,,17000,,,,,
183, Burkina Faso,,,,,,,,,,,,,,,,,,,1596,,,,,
185, Burundi,,,,,,,,,,,,,,,,,,,748,,,,,
125, Cabo Verde,,,,,,,,,,,,,,,,,,,5915,,,,,
146, Cambodia,,,,,,,,,,,,,,,,,,,3291,,,,,
151, Cameroon,,,,,,,,,,,,,,,,,,,3289,,,,,
12, Canada,,,,,,,,,,,,,,,,,,,43149,,,,,
188, Central African Republic,,,,,,,,,,,,,,,,,,,622,,,,,
186, Chad,,,,,,,,,,,,,,,,,,,2067,,,,,
44, Chile,,,,,,,,,,,,,,,,,,,22517,,,,,
86, China,,,,,,,,,,,,,,,,,,,13570,,,,,
90, Colombia,,,,,,,,,,,,,,,,,,,12985,,,,,
165, Comoros,,,,,,,,,,,,,,,,,,,1413,,,,,
137, Congo,,,,,,,,,,,,,,,,,,,5543,,,,,
176, Congo (Democratic Republic of the),,,,,,,,,,,,,,,,,,,812,,,,,
63, Costa Rica,,,,,,,,,,,,,,,,,,,14739,,,,,
46, Croatia,,,,,,,,,,,,,,,,,,,20984,,,,,
32, Cyprus,,,,,,,,,,,,,,,,,,,30549,,,,,
27, Czechia,,,,,,,,,,,,,,,,,,,30605,,,,,
170, Côte d'Ivoire,,,,,,,,,,,,,,,,,,,3242,,,,,
11, Denmark,,,,,,,,,,,,,,,,,,,45459,,,,,
